txn_id,ticker,sector,side,price,qty,ts
1,AAPL,Technology,BUY,189.50,100,2026-01-01T09:30:00
2,GOOG,Technology,BUY,142.10,50,2026-01-01T09:31:00
3,JPM,Financials,SELL,201.75,75,2026-01-01T09:32:00
4,AAPL,Technology,SELL,190.25,40,2026-01-01T09:33:00
5,XOM,Energy,BUY,118.40,200,2026-01-01T09:34:00
6,JPM,Financials,BUY,200.10,60,2026-01-01T09:35:00
7,GOOG,Technology,SELL,143.30,25,2026-01-01T09:36:00
8,XOM,Energy,SELL,119.80,150,2026-01-01T09:37:00
9,AAPL,Technology,BUY,188.90,80,2026-01-01T09:38:00
10,MSFT,Technology,BUY,415.60,30,2026-01-01T09:39:00
